start,end,label
419.74596875000003,420.21846875,SPEAKER_01
421.68659375000004,431.92971875,SPEAKER_00
432.26721875000004,433.24596875000003,SPEAKER_00
433.81971875000005,435.25409375000004,SPEAKER_00
436.55346875000004,441.51471875000004,SPEAKER_00
441.81846875,442.37534375,SPEAKER_01
442.42596875000004,443.96159375,SPEAKER_00
444.46784375000004,445.95284375000006,SPEAKER_00
446.12159375000005,447.15096875,SPEAKER_00
447.60659375,448.41659375,SPEAKER_00
448.92284375,456.26346875,SPEAKER_00
457.14096875,459.46971875,SPEAKER_00
460.09409375,460.71846875000006,SPEAKER_00
462.18659375000004,463.50284375,SPEAKER_00
464.44784375,468.70034375000006,SPEAKER_00
469.69596875,471.63659375000003,SPEAKER_00
472.96971875,477.18846875,SPEAKER_00
478.48784375,485.00159375000004,SPEAKER_00
485.91284375000004,486.48659375000005,SPEAKER_00
487.90409375,488.51159375000003,SPEAKER_00
489.86159375000005,490.30034375,SPEAKER_00
491.44784375,492.37596875,SPEAKER_00
493.64159375,495.09284375000004,SPEAKER_00
496.05471875,502.75409375000004,SPEAKER_00
504.39096875,504.91409375,SPEAKER_00
506.55096875000004,512.6765937499999,SPEAKER_00
515.39346875,515.91659375,SPEAKER_00
516.96284375,517.63784375,SPEAKER_00
517.75596875,520.4053437499999,SPEAKER_00
521.43471875,523.57784375,SPEAKER_00
524.0165937500001,524.38784375,SPEAKER_01
524.55659375,524.94471875,SPEAKER_00
526.24409375,526.7165937500001,SPEAKER_00
527.91471875,528.5390937500001,SPEAKER_01
528.5390937500001,528.58971875,SPEAKER_00
528.58971875,528.7078437499999,SPEAKER_01
528.7078437499999,528.72471875,SPEAKER_00
529.60221875,530.3953437499999,SPEAKER_01
530.74971875,539.03534375,SPEAKER_01
539.32221875,541.3640937499999,SPEAKER_01
542.49471875,544.7222187500001,SPEAKER_01
545.22846875,548.16471875,SPEAKER_01
547.43909375,548.45159375,SPEAKER_00
548.55284375,552.8728437500001,SPEAKER_01
552.9909687500001,562.4240937500001,SPEAKER_01
555.06659375,555.31971875,SPEAKER_00
563.4028437500001,571.6884687500001,SPEAKER_00
570.77721875,571.1653437500001,SPEAKER_01
571.6884687500001,571.80659375,SPEAKER_01
572.5322187500001,573.5615937499999,SPEAKER_00
574.0847187500001,574.9622187500001,SPEAKER_00
577.08846875,584.15909375,SPEAKER_00
584.2097187500001,587.1628437500001,SPEAKER_00
